year,stock,capture,effort
1990,Aristeus_varidens_5,1243.666667,919
1990,Arius_spp_3,333,239
1990,Arius_spp_4,1036,83336
1990,Arius_spp1,5950,448819
1990,Brachydeuterus_auritus_1,618,355641
1990,Brachydeuterus_auritus_4,517.6666667,83336
1990,Cephalopholis_Taeniops_1,247.3333333,134667
1990,Cynoglossus_spp_3,490,239
1990,Cynoglossus_spp_4,945,89238
1990,Dentex_macrophthalmus_4,1379.333333,83336
1990,Dentex_spp_3,363,496
1990,Dentex_spp_4,1916.666667,83336
1990,Diplodus_spp1,89.33333333,134667
1990,Galeoides_decadactylus_3,330,239
1990,Galeoides_decadactylus_4,3376.8107,83336
1990,Merluccius_polli_4,395.3333333,83336
1990,Pagellus_bellottii_4,111.6666667,92930
1990,Pagellus_spp_3,299,1095
1990,Parapenaeus_longirostris_5,5469,1858
1990,Penaeus_notialis_5,5989,26454
1990,Pomadasys_spp_3,1999,239
1990,Pomadasys_spp_4,1238.333333,83336
1990,Pseudotolithus_spp_3,19419,239
1990,Pseudotolithus_spp_4,8053.666667,83336
1990,Pseudotolithus_spp1,5622.666667,348395
1990,Pseudupeneus_prayensis_1,97.33333333,134667
1990,Sepia_spp_6,6418,4967
1990,Seriola_spp_1,65.33333333,134667
1990,Sparidae_1,5330,332251
1991,Aristeus_varidens_5,1243.666667,919
1991,Arius_spp_3,572,244
1991,Arius_spp_4,1036,83336
1991,Arius_spp1,5950,448325
1991,Brachydeuterus_auritus_1,618,355641
1991,Brachydeuterus_auritus_4,517.6666667,83336
1991,Cephalopholis_Taeniops_1,247.3333333,134667
1991,Cynoglossus_spp_3,551,244
1991,Cynoglossus_spp_4,945,89238
1991,Dentex_macrophthalmus_4,1379.333333,83336
1991,Dentex_spp_3,363,496
1991,Dentex_spp_4,1916.666667,83336
1991,Diplodus_spp1,89.33333333,134667
1991,Galeoides_decadactylus_3,507,244
1991,Galeoides_decadactylus_4,3391.024691,83336
1991,Merluccius_polli_4,395.3333333,83336
1991,Pagellus_bellottii_4,111.6666667,92930
1991,Pagellus_spp_3,299,1095
1991,Parapenaeus_longirostris_5,4558,1858
1991,Penaeus_notialis_5,6586,26454
1991,Pomadasys_spp_3,2732,244
1991,Pomadasys_spp_4,1238.333333,83336
1991,Pseudotolithus_spp_3,25625,244
1991,Pseudotolithus_spp_4,8053.666667,83336
1991,Pseudotolithus_spp1,5622.666667,348326
1991,Pseudupeneus_prayensis_1,97.33333333,134667
1991,Sepia_spp_6,7008,4967
1991,Seriola_spp_1,65.33333333,134667
1991,Sparidae_1,5330,332016
1992,Aristeus_varidens_5,1243.666667,919
1992,Arius_spp_3,313,249
1992,Arius_spp_4,1036,83336
1992,Arius_spp1,5950,448556
1992,Brachydeuterus_auritus_1,618,355641
1992,Brachydeuterus_auritus_4,517.6666667,83336
1992,Cephalopholis_Taeniops_1,247.3333333,134667
1992,Cynoglossus_spp_3,726,249
1992,Cynoglossus_spp_4,945,89238
1992,Dentex_macrophthalmus_4,1379.333333,83336
1992,Dentex_spp_3,363,496
1992,Dentex_spp_4,1916.666667,83336
1992,Diplodus_spp1,89.33333333,134667
