variable,year,mean,sd,lower,upper
b_t,1990,19334.2420190352,21897.4372260928,4479.15283268862,58531.3962495059
b_t,1991,25858.3592691686,32126.9444932546,4476.03031618656,80176.1296604343
b_t,1992,27700.1599801684,36280.8221827089,4591.71815700997,88706.763065683
b_t,1993,28152.3674837888,38000.9264848229,4418.63039716968,89386.1450104785
b_t,1994,27258.3077849089,34717.6351191426,4433.89767059611,89958.8736047294
b_t,1995,28146.8613061364,34624.158472236,4877.2994011685,88760.1000549605
b_t,1996,28339.5610832067,38370.444381112,4132.29930984723,90144.3891151478
b_t,1997,28109.9576842958,38836.6366695537,4049.00890279846,92831.838783904
b_t,1998,27611.417360359,37427.3814282156,4158.30696891096,87201.1270265026
b_t,1999,27733.0713393837,36599.4964472533,4028.50022330122,89991.6637567094
b_t,2000,26378.2702413213,32601.2118193692,3952.440211785,85498.2573330036
b_t,2001,21461.0421854842,26442.6238658221,3982.33995862058,68058.7233435925
b_t,2002,28696.722759282,35964.4578568502,4403.92312509444,94600.1640004948
b_t,2003,65936.5975897168,89265.1291971778,5246.67878513563,223862.88227175
b_t,2004,8675.51861104776,11122.0977859528,1732.57618085431,27768.2010881776
b_t,2005,6518.67226168996,8332.18144016577,1118.79047644042,20563.2827498591
b_t,2006,7481.76550334634,9113.29229650452,1411.43360441535,23603.1032363123
b_t,2007,10872.0558859024,13878.690469782,1877.68870258511,35300.7368947141
b_t,2008,21155.607087581,34220.7092110145,2613.62397266945,73793.4691416119
b_t,2009,14235.9758548807,21223.0652103049,1937.57458806447,45971.4410005234
b_t,2010,11142.5816663208,14940.044936904,1798.05551510446,35731.1825562874
b_t,2011,19395.759402013,26077.7843402426,3083.37845027876,60675.3411083709
b_t,2012,42387.6716958271,58531.9305901566,5957.27528374173,135937.521421643
b_t,2013,28773.8210993569,35905.6905693797,4567.31844394573,88712.9860703641
b_t,2014,31382.8273954712,40680.7633542363,5711.12889578142,101944.196149407
b_t,2015,29619.1798297143,39038.4907128448,5326.89062215099,92938.9173529127
b_t,2016,35595.7691858955,45077.6200170954,6195.52821335693,118165.984111289
b_t,2017,40890.482387236,51059.3966091928,6508.34040417788,131724.420356018
b_t,2018,40770.8798071696,51741.8832454672,6705.96433170199,127145.04198355
b_t,2019,46876.1272827098,60087.5243284624,6823.31956218806,153338.451365526
b_t,2020,24358.5135943975,33110.2088512276,3683.09891603619,76874.8105169909
b_t,2021,21670.2375208231,30347.6461330809,3034.3321338714,67753.1284267107
bmsy,1990,18804.3994360892,21301.8047186924,4387.13804370874,56909.1738184236
ck,1990,0.0622006021414582,0.0417780963087151,0.0109267682750984,0.14174008861129
ck,1991,0.0622006021414582,0.0417780963087151,0.0109267682750984,0.14174008861129
ck,1992,0.0622006021414582,0.0417780963087151,0.0109267682750984,0.14174008861129
ck,1993,0.0622006021414582,0.0417780963087151,0.0109267682750984,0.14174008861129
ck,1994,0.0622006021414582,0.0417780963087151,0.0109267682750984,0.14174008861129
ck,1995,0.0622006021414582,0.0417780963087151,0.0109267682750984,0.14174008861129
ck,1996,0.0622006021414582,0.0417780963087151,0.0109267682750984,0.14174008861129
ck,1997,0.0622006021414582,0.0417780963087151,0.0109267682750984,0.14174008861129
ck,1998,0.0622006021414582,0.0417780963087151,0.0109267682750984,0.14174008861129
ck,1999,0.0622006021414582,0.0417780963087151,0.0109267682750984,0.14174008861129
ck,2000,0.0622006021414582,0.0417780963087151,0.0109267682750984,0.14174008861129
ck,2001,0.0622006021414582,0.0417780963087151,0.0109267682750984,0.14174008861129
ck,2002,0.0685190229785243,0.0460219715311704,0.0120367240950463,0.156138237479566
ck,2003,0.0707696478208846,0.0475336421289096,0.0124320909448836,0.161266865717946
ck,2004,0.0473131355749518,0.0317786752324724,0.0083114897765794,0.107815162522387
ck,2005,0.00855237440096909,0.00574434827140886,0.00150239402938169,0.0194887873058437
