variable,year,mean,sd,lower,upper
b_t,1990,332611.018268947,380670.568943707,78378.5557104744,907724.097533645
b_t,1991,76273.1756099693,105310.696742212,12584.5527452683,216608.351018989
b_t,1992,50433.1279116524,65125.5961572236,8523.49453078209,151372.401025014
b_t,1993,45534.1150163253,57878.0925047416,7784.09855884508,142613.770421189
b_t,1994,43050.8303944051,53067.4879775359,7912.58689353224,121420.822507913
b_t,1995,72752.3759433615,94693.1957727284,12242.7171495742,214724.704781523
b_t,1996,85384.6242846604,113438.239122182,13344.2415238625,257525.042625358
b_t,1997,100099.656426142,127709.571602346,16422.1620105218,299612.349276583
b_t,1998,147085.216171523,194843.692056766,23883.3647932946,431415.359025893
b_t,1999,229231.933076874,305166.306130727,36489.1764879047,672522.429453097
b_t,2000,318113.822345677,411066.144086445,47101.8180757229,939999.218439182
b_t,2001,321312.829399735,446934.195943414,48149.4755722708,980534.204257373
b_t,2002,239616.36419673,301073.525358307,33687.3151511692,720633.891847596
b_t,2003,322657.462952521,414327.147964893,50911.9620302846,963071.20692872
b_t,2004,365662.735579616,475416.094150596,57216.3526045046,1110667.17583654
b_t,2005,428651.654280599,526092.415837848,65495.6766943468,1365996.13891318
b_t,2006,452229.840661993,550146.937526731,71607.5537121544,1357955.222781
b_t,2007,471094.081675918,624397.30678123,74608.8410775033,1440836.10107779
b_t,2008,508448.930883316,628404.968030038,83281.4546747207,1521354.93245198
b_t,2009,590083.203967358,800022.478042255,100781.738780163,1699053.86598872
b_t,2010,825651.871842192,1014168.13212771,145946.12394046,2348805.29571656
b_t,2011,920875.349806352,1104455.40790572,164027.160858683,2735226.97361102
b_t,2012,906427.919914269,1096655.87326433,160171.751605879,2641431.05441504
b_t,2013,946165.224760351,1179201.14261222,168553.043590799,2627515.74912658
b_t,2014,976022.91093442,1112397.48710236,179360.037020728,2835000.13339682
b_t,2015,945502.049642378,1122061.27104236,170563.401842457,2694550.02224793
b_t,2016,940123.331861649,1175662.64966244,162461.262287394,2799081.56837278
b_t,2017,710003.387338044,926599.1904536,109703.000948326,2191432.11086233
b_t,2018,659120.98503942,850107.440295649,103059.25902256,1879243.23153806
b_t,2019,648817.920211777,846291.279189694,100179.84038136,1823178.20018947
b_t,2020,610426.735386287,709344.983895186,96723.2898402154,1813777.46297017
b_t,2021,617400.665877345,805789.990992123,96989.8098616254,1961423.34623502
bmsy,1990,364773.279966826,399094.49972735,85579.8865492759,991334.767124928
ck,1990,0.00121708117419152,0.000852628312475887,0.000247141621084314,0.00286282279730485
ck,1991,0.00136859536118271,0.000958771837090232,0.000277908231056035,0.00321921502309178
ck,1992,0.00180326720910825,0.00126328194868876,0.000366173095729004,0.00424165173641494
ck,1993,0.00226526128747483,0.00158693269587349,0.000459986037609989,0.00532835590028985
ck,1994,0.00139343375249274,0.000976172414895862,0.000282951937608776,0.00327763997813882
ck,1995,0.00695226572767767,0.00487042172779593,0.00141173346411223,0.0163531449176659
ck,1996,0.00444358820536454,0.00311296336942727,0.000902319102285383,0.0104522244579151
ck,1997,0.00418775277487122,0.00293373741802928,0.00085036892479215,0.00985044742093057
ck,1998,0.00566066937955606,0.00396559168190315,0.0011494607233697,0.0133150472552199
ck,1999,0.0114231761634833,0.00800252573280939,0.00231960064360563,0.0268696368261327
ck,2000,0.0181121549432746,0.0126885013358656,0.00367787081825881,0.0426034772202999
ck,2001,0.0179680922736764,0.012587577984593,0.00364861732025291,0.0422646124810271
ck,2002,0.00723542338861203,0.00506878831478012,0.00146923171881348,0.0170191894052021
ck,2003,0.0186908894607983,0.0130939347987368,0.00379538918093768,0.0439647786728959
ck,2004,0.0164951756689916,0.0115557237207191,0.00334952552167537,0.0388000126467378
ck,2005,0.0224886794921021,0.0157544831452177,0.00456657191285179,0.052897954299588
ck,2006,0.020859281022164,0.0146130052411684,0.00423570476299198,0.0490652772485023
ck,2007,0.0187877591869074,0.0131617970521788,0.00381505963649337,0.0441926359975794
ck,2008,0.0201762252611382,0.0141344893515135,0.0040970028327916,0.0474585909847088
ck,2009,0.0164181766559305,0.0115017819295217,0.00333389003136187,0.038618895286092
ck,2010,0.0422774258488037,0.0296175234829634,0.00858489292342063,0.099445115985563
ck,2011,0.0556429642127314,0.0389807744001731,0.0112989114194506,0.130883584296374
ck,2012,0.0480275134370759,0.0336457572449668,0.0097525109903802,0.112970493078952
ck,2013,0.0587626661612713,0.0411662869725603,0.0119324009624749,0.138221758650282
ck,2014,0.0634273160492951,0.0444341154844576,0.0128796090530797,0.149193965208116
ck,2015,0.0646245265104386,0.045272823334689,0.0131227157089218,0.152010048041383
ck,2016,0.0576374870349269,0.0403780407979652,0.0117039210556357,0.135575108186651
ck,2017,0.027217909197532,0.0190675531594097,0.0055268936404937,0.064022065740544
ck,2018,0.0254345127014717,0.0178181916729655,0.00516475551000689,0.0598271539681667
ck,2019,0.0243043658968653,0.0170264653828093,0.00493526686185717,0.0571688185135265
ck,2020,0.0227619017965124,0.0159458895010796,0.00462205268493195,0.0535406288051054
ck,2021,0.0238150495880577,0.0166836740000384,0.00483590584276817,0.0560178468990998
crashed,1990,0,0,0,0
delta,1990,100,0,100,100
dep_t,1990,0.454646402630174,0.0447125559297676,0.38639249431436,0.528582549627441
dep_t,1991,0.104036354164113,0.0469489410224085,0.0469620502052074,0.18440163882779
dep_t,1992,0.0691917694610676,0.0346222895374732,0.0298189704766808,0.132960756968531
dep_t,1993,0.0627703841534566,0.0308642805411649,0.0270137525086334,0.120944206733933
dep_t,1994,0.0606061320754112,0.030600554336249,0.0265389296541895,0.11668777064681
dep_t,1995,0.100949566133571,0.052262666870524,0.0419466109252959,0.193908153941189
dep_t,1996,0.115647711338061,0.0604812999459673,0.0464787297735788,0.220489546047209
dep_t,1997,0.138062251931147,0.0751735108781342,0.0554458768606984,0.2731225711443
dep_t,1998,0.202456301986225,0.109228398492024,0.0798643864034469,0.396013919041504
dep_t,1999,0.327407247668983,0.227280562934683,0.12313578102708,0.629223466118524
dep_t,2000,0.438908523826158,0.24435404691075,0.156879645790051,0.865447489402482
dep_t,2001,0.441691591737079,0.252868621053622,0.160153415332975,0.923553306818985
dep_t,2002,0.325516225458049,0.175810367940886,0.124729103890484,0.634350625439096
dep_t,2003,0.444560362090443,0.249396270994062,0.167138692077146,0.903901162238221
dep_t,2004,0.5048649719548,0.274142855067924,0.192719376994486,0.980878557372405
dep_t,2005,0.593279595777382,0.321736899848509,0.220071494735735,1.19174136237585
dep_t,2006,0.631429467112461,0.333991255851088,0.247894144057931,1.2844108478652
dep_t,2007,0.643490404099382,0.335432594395839,0.246317215304486,1.26354235473383
dep_t,2008,0.697783545185837,0.338970514455402,0.288838937240865,1.31157287351412
dep_t,2009,0.808076757140225,0.362800025683194,0.350327252236218,1.47410659009765
dep_t,2010,1.12846054046506,0.451361812622305,0.509554770978508,1.95053811005034
dep_t,2011,1.25437800102044,0.475242989514847,0.593265943674284,2.09493238102834
dep_t,2012,1.23156197953505,0.453004806576987,0.596500556372312,2.01768533836546
dep_t,2013,1.28028372056869,0.456466555348097,0.63078439455809,2.08802689877644
dep_t,2014,1.33784561809997,0.449838707400371,0.69860396625999,2.1088906146751
dep_t,2015,1.30142647819989,0.468996667726711,0.61292704604352,2.12909756589955
dep_t,2016,1.26464778204876,0.470336451071196,0.591586072031302,2.07885035015119
dep_t,2017,0.944468291083485,0.43901963656862,0.404912142858299,1.73209557889013
dep_t,2018,0.899106708518691,0.408953506581175,0.375647509484947,1.66213585167509
dep_t,2019,0.881960141208416,0.414498339977416,0.356867231020706,1.62946790511429
dep_t,2020,0.845209018577037,0.393416869319848,0.346439244479838,1.57125311625999
dep_t,2021,0.844132545047314,0.476058753838178,0.320915747817421,1.69048716253629
growth_t,1990,0.143289381923303,0.0278997891316631,0.102815351086128,0.189063116093198
growth_t,1991,0.0523845413994625,0.0225493584254288,0.0229853350471996,0.094020509108695
growth_t,1992,0.0349948513881654,0.0188863638078455,0.00980780136951603,0.0688426127093377
growth_t,1993,0.031681454918955,0.0177971693118803,0.00802954577832346,0.0627051517028476
growth_t,1994,0.0302451363461483,0.0171429098409242,0.00775807588800937,0.059212221222822
growth_t,1995,0.0503296246996945,0.0234776634436459,0.0184464701577275,0.0933688332139304
growth_t,1996,0.0564449202497661,0.0248255662347718,0.023947253760648,0.100813956456724
growth_t,1997,0.0651526022170512,0.0281150306007487,0.0286015042568933,0.115700321469793
growth_t,1998,0.086287233898665,0.0327250053366938,0.0414830013298583,0.143223859826095
growth_t,1999,0.0947865851080536,0.170227595358691,0.0558394487433993,0.164397773595845
growth_t,2000,0.107723545891512,0.0959461505842363,0.0521438185638576,0.171779400084239
growth_t,2001,0.105566825928826,0.084149006914016,0.0380538051056202,0.170552935846251
growth_t,2002,0.108933402651707,0.0402051997306552,0.0566930474535029,0.167435470823763
growth_t,2003,0.107756886608638,0.0903211915279542,0.0442552726668886,0.172795325086955
growth_t,2004,0.102055320007088,0.114109140260405,0.00991898482143069,0.175866458424166
growth_t,2005,0.081924870596821,0.164529788843266,-0.131256420952586,0.17601371868314
growth_t,2006,0.0716824250366852,0.167967278136961,-0.207245812000515,0.173752363701547
growth_t,2007,0.0709970297649839,0.185900365452462,-0.181975306783682,0.17485039822926
growth_t,2008,0.0583257361104094,0.186890571281002,-0.248191517936898,0.175948977827032
growth_t,2009,0.0182666888959716,0.228489110903615,-0.396970308497317,0.171550748040134
growth_t,2010,-0.184083455799075,0.396144097182982,-1.00103199929293,0.160875743314641
growth_t,2011,-0.288397499243198,0.459031068861272,-1.20567751172338,0.147690086724235
growth_t,2012,-0.26202215020662,0.427267898852612,-1.14025206966314,0.146817785743879
growth_t,2013,-0.299705198358678,0.451359264507353,-1.2339129245504,0.142721685209919
growth_t,2014,-0.349010908426437,0.454456340851343,-1.22820481624979,0.128853524199139
