variable,year,mean,sd,lower,upper
b_t,1990,157248.531602302,169976.866077947,32186.4840399971,452205.589603479
b_t,1991,140094.07445913,180186.04464543,22536.3888258527,423252.161974973
b_t,1992,133814.605165622,168315.076480012,21349.1596081627,425055.82180969
b_t,1993,139043.019381418,178673.963227001,20366.992806174,417812.600087345
b_t,1994,132831.634131529,161605.299033625,21123.8300483338,403870.121995665
b_t,1995,141320.285485017,165649.310115758,23142.7152506991,434518.582905346
b_t,1996,123975.051636854,173882.822207784,19810.924172953,353113.807173962
b_t,1997,129662.498851783,171494.242310465,20266.711299198,412454.880030432
b_t,1998,190408.621225744,246066.484981027,20414.456412725,588963.397662812
b_t,1999,189652.872252056,251714.378162473,25890.7404981776,570662.104625403
b_t,2000,202154.244180368,244838.01817071,33969.1002894699,640100.377630271
b_t,2001,259545.351599075,314479.093766749,43662.4616079865,798707.980842336
b_t,2002,308644.402187811,379715.688589079,52000.7624885704,971120.617314393
b_t,2003,359827.68243661,421753.231563125,58459.4429342998,1075586.64828164
b_t,2004,393610.855229358,481308.768445847,70303.4460191913,1169056.11543631
b_t,2005,394482.066408407,507926.923914409,65231.9769203993,1193693.36937662
b_t,2006,401840.457653137,518318.030016019,50189.3308349454,1191557.45014544
b_t,2007,523424.562712259,650523.260525182,81403.2096674172,1605001.84437366
b_t,2008,279859.928048602,395346.899002602,43492.5603099044,855553.370870427
b_t,2009,269676.16525217,354637.676125683,39353.9183097186,798132.963354599
b_t,2010,412670.611995593,617701.885026789,40978.8074199064,1321141.86227804
b_t,2011,85139.5467861184,110623.721472987,11447.5100673064,259782.239067748
b_t,2012,47959.6632638351,60782.4589709398,6383.26530386143,149030.26621097
b_t,2013,47133.4277881962,58686.087187434,7640.14100051387,143782.821662894
b_t,2014,56206.6348833896,73310.3180168986,9184.44419923025,166276.954746373
b_t,2015,42154.0562899004,54515.7745620067,6632.5143269779,124309.676742083
b_t,2016,29461.0011465897,37798.5801974701,4818.7122553207,89461.8379105647
b_t,2017,26977.2419472025,34153.6501334037,4469.87045828546,80640.1494996528
b_t,2018,26384.4796308876,32661.6588172703,2934.12760573928,81685.7442502004
b_t,2019,24680.5931986783,30264.912930043,4013.72517602516,73501.5763217238
b_t,2020,26466.2309105196,33303.1412395158,4140.7079844586,84398.1930949493
b_t,2021,27332.9849586906,34695.2453008386,4262.68617281708,81198.4388955978
bmsy,1990,160281.202276623,176541.282940878,34033.5219534728,454747.199119446
ck,1990,0.0118548078397807,0.00900261782173419,0.0021073993809771,0.0281585119795905
ck,1991,0.0118548078397807,0.00900261782173419,0.0021073993809771,0.0281585119795905
ck,1992,0.0118548078397807,0.00900261782173419,0.0021073993809771,0.0281585119795905
ck,1993,0.0118548078397807,0.00900261782173419,0.0021073993809771,0.0281585119795905
ck,1994,0.0118548078397807,0.00900261782173419,0.0021073993809771,0.0281585119795905
ck,1995,0.0152277583807639,0.0115640582990895,0.00270700031742433,0.0361702207730583
ck,1996,0.0106074758826198,0.00805538585822035,0.00188566431534635,0.0251957468017039
ck,1997,0.00972918924977318,0.00738840930319569,0.00172953350906112,0.0231095683493179
ck,1998,0.0330037850202096,0.0250632880113491,0.00586699987561991,0.0783932973375464
ck,1999,0.0367643362369051,0.027919074951173,0.00653550360957361,0.0873256670491709
ck,2000,0.0321193132702302,0.0243916144383313,0.00570976955661436,0.0762924274876084
ck,2001,0.0433143752804587,0.0328932170058992,0.00769988758039098,0.102883857056754
ck,2002,0.0389909784046854,0.0296100014287003,0.00693132818888829,0.0926145701678959
ck,2003,0.048800574177184,0.0370594719658067,0.00867515536331355,0.11591512668539
ck,2004,0.0680115479914214,0.0516484098524729,0.012090241872623,0.161546607481945
ck,2005,0.0664405282397098,0.0504553672822175,0.0118109656416621,0.157814992503734
ck,2006,0.0613316214880806,0.0465756304198909,0.010902768134679,0.14567989812577
ck,2007,0.0821940215767551,0.0624186721107231,0.0146114245403135,0.195233982068713
ck,2008,0.0303070739503424,0.0230153881663438,0.00538761232956101,0.0719878480048683
ck,2009,0.0279319889713768,0.0212117332569814,0.00496539944495868,0.066346351344895
ck,2010,0.0315379122597542,0.023950094746977,0.00560641536090441,0.0749114361177191
ck,2011,0.00360592328837747,0.00273836148999561,0.000641015915945729,0.00856508477282413
