variable,year,mean,sd,lower,upper
b_t,1990,282.608811342705,90.4005010813113,251.507503811125,377.29949254092
b_t,1991,302.074576991045,138.086829275655,238.847669532203,418.304000034209
b_t,1992,334.870159934796,131.285856505269,255.319780197471,425.333467554509
b_t,1993,258.732392556698,140.55958296715,196.547082943253,415.268504843566
b_t,1994,265.77867027701,145.892779588177,204.02293498303,417.807937174657
b_t,1995,322.194801588519,181.437715996336,265.168727836797,412.200094451534
b_t,1996,259.460381471318,154.025053385843,201.078478608153,396.093791155502
b_t,1997,271.102617824951,168.065547600699,199.177756680803,424.419421266875
b_t,1998,233.614087788321,157.180165346284,180.089624589598,360.287534329232
b_t,1999,193.268871838786,113.166740869073,156.552093366329,287.154151793877
b_t,2000,249.144265440882,141.461944732125,198.577280167799,309.956599610884
b_t,2001,210.362780865281,93.7132300883054,156.793625305373,246.991123297542
b_t,2002,209.0707884882,88.3104265443377,155.409978794566,243.804775874706
b_t,2003,213.880494629881,80.5312147751296,167.56135239358,270.799699570196
b_t,2004,213.01519768444,91.5099601673915,182.962130367907,274.000432892846
b_t,2005,263.068530589537,143.335087955366,215.892909628017,389.000550366229
b_t,2006,161.319592957869,97.7824688059135,122.04334586746,264.609204251003
b_t,2007,131.725680993912,79.8736874894065,97.7814878705239,216.36513515732
b_t,2008,119.024937851695,59.3534676894301,95.9589297393046,177.49401361261
b_t,2009,92.0855990539504,59.5733574570841,74.4060145650259,133.794297604432
b_t,2010,84.7636200192061,52.6347788151261,63.4745757323815,127.375030471277
b_t,2011,77.3831880274303,48.9691883232922,57.2746047452438,125.658059481791
b_t,2012,82.6031767298268,52.4288496882324,60.4626711977595,135.253434558373
b_t,2013,131.40862368107,71.5443846436015,98.9594410399785,211.472908032989
b_t,2014,99.7439951587478,64.7409233938679,71.9430977995529,163.002694680828
b_t,2015,105.898398000037,52.6342172794205,78.7577585050083,165.304483934254
b_t,2016,127.766138596424,50.2887828046137,96.9921983508785,170.808075133954
b_t,2017,150.345936413432,71.0606865139246,112.553173114097,207.990530140715
b_t,2018,157.641883404385,87.6760414596113,115.092985604927,218.893680689251
b_t,2019,134.122516329071,79.1011767862467,88.1584768255076,217.897188858136
b_t,2020,142.521066478335,86.0996365396269,97.1900769012501,217.513283320904
b_t,2021,143.21543136455,87.2969761225882,93.4204971004581,240.278308752921
bmsy,1990,284.540450432575,89.5688222352105,246.823459859323,362.809713304299
ck,1990,0.161851817461464,0.0209912371805884,0.123113211613887,0.180966052284278
ck,1991,0.161851817461464,0.0209912371805884,0.123113211613887,0.180966052284278
ck,1992,0.161851817461464,0.0209912371805884,0.123113211613887,0.180966052284278
ck,1993,0.161851817461464,0.0209912371805884,0.123113211613887,0.180966052284278
