variable,year,mean,sd,lower,upper
b_t,1990,38461.3453725867,64737.4385614335,15325.4301848139,89801.9874859814
b_t,1991,39127.0660831974,66374.7500046098,13311.923642006,97594.6996452166
b_t,1992,38878.4554728971,66828.9371443584,12507.11501826,103860.402177726
b_t,1993,40197.4207997131,81845.165084823,11718.1272006231,104590.492272683
b_t,1994,38838.0587536457,74811.6228572216,11901.4995781544,99442.6492987917
b_t,1995,36312.8328699795,70304.2129273146,11562.190030161,96954.5583708099
b_t,1996,39754.7290058524,77598.2404025526,12436.5239344604,102843.809213055
b_t,1997,35232.9910864035,60486.5157417896,11350.5032908435,89312.1385473078
b_t,1998,33155.1524870979,57031.19224857,10790.3547419497,87933.7953235483
b_t,1999,28925.6052623977,52339.7365154603,9742.60814657573,73895.4779230137
b_t,2000,28288.0069317985,48198.8199000874,9797.21842281793,70469.2638439319
b_t,2001,32348.812981932,53816.1064862596,11109.7661902649,79894.725171428
b_t,2002,39400.9805299617,68474.4674135184,12149.5130933756,103750.345736859
b_t,2003,35971.7330151927,74522.8551361337,10613.5762179959,93811.6683031266
b_t,2004,32769.9246515253,55408.4694176792,10090.1158834541,83921.7713093156
b_t,2005,25516.1612731534,49569.9383644683,7338.69440224881,65284.3959180487
b_t,2006,26342.4603520128,45149.8707553034,8193.81381787041,69045.8084756927
b_t,2007,34372.3653217331,60829.3921594653,11230.8971439564,88584.3975869874
b_t,2008,67254.5955991742,104324.173484005,23675.0909746596,168126.554618214
b_t,2009,91207.2556205658,147465.020722309,31583.9124967039,232202.621802906
b_t,2010,109079.215163343,184299.348593879,33598.8691550587,285134.822215391
b_t,2011,85338.6741971356,152611.737395318,26309.5941328507,229612.963650296
b_t,2012,56307.2967232157,89391.5584528061,17851.6426098629,140477.857780615
b_t,2013,67620.5787953361,139032.852351322,21426.0698320327,171481.703951578
b_t,2014,71778.0047899426,114684.718364578,21875.6981192331,187297.019143436
b_t,2015,47462.1402761763,70078.5025435689,15804.7330812219,117618.556910004
b_t,2016,33799.5872641662,61184.5300326996,11349.5683968572,85295.9587897946
b_t,2017,20563.7951192538,35268.6663790867,6847.38947772507,53422.2010891118
b_t,2018,17280.3842614299,38724.3742431111,5655.03904908919,42282.7282725306
b_t,2019,13856.9319222104,25490.2593711011,4639.85520360759,33954.7864979337
b_t,2020,13499.5807301525,34704.4958496956,3943.597798033,34633.0176381261
b_t,2021,16245.0682340169,29831.4024224089,4721.4951562538,42951.2780668474
bmsy,1990,39255.2199069457,61856.3965330015,16013.6517770004,91685.5428397355
ck,1990,0.0627115614660295,0.0265320851116557,0.0184151800743502,0.105435373486116
ck,1991,0.0629755329022353,0.0266437664738914,0.0184926949921513,0.105879182032983
ck,1992,0.0603475878405827,0.025531932221729,0.0177210018560771,0.101460883993531
ck,1993,0.0648115636366993,0.0274205566314894,0.019031843369369,0.108966054400609
ck,1994,0.0637674472665664,0.0269788105841702,0.0187252397619147,0.107210607767255
ck,1995,0.0524637525999113,0.0221964294416703,0.0154059224314941,0.0882059897815049
ck,1996,0.07820349104362,0.0330864298686278,0.022964367914698,0.131481565653068
ck,1997,0.0606350981375966,0.0256535724343552,0.0178054289340985,0.101944267835969
ck,1998,0.0796149052728566,0.0336835727491825,0.0233788281287842,0.133854540953385
ck,1999,0.0801534712287495,0.0339114299009731,0.0235369774210013,0.134760018370611
ck,2000,0.0754920900242972,0.0319392869665096,0.0221681680297429,0.126922955207723
ck,2001,0.0802648986678997,0.0339585727599643,0.0235696979642187,0.134947358525899
