variable,year,mean,sd,lower,upper
b_t,1990,180431.745902724,191206.175883527,39009.3597497066,486822.87318924
b_t,1991,61930.2083272369,85465.8963030968,9742.60921135527,180213.189711878
b_t,1992,39414.1037706403,47550.5446036781,6335.51163557447,118294.067791988
b_t,1993,34963.7267013202,49698.1655013228,5422.64081184204,100009.160541626
b_t,1994,32355.4212265522,45098.5855693218,4833.18355986589,92903.7645241191
b_t,1995,31757.8662444375,42559.5013855283,5058.6431546266,95500.2298136128
b_t,1996,31518.1824691552,41964.5018740295,4997.67135560533,91502.5897411015
b_t,1997,32055.6212134573,43810.8661800816,4648.42084469942,95380.2785549263
b_t,1998,36074.6429273782,45897.6116357142,5346.08037130431,110740.901778785
b_t,1999,26179.9649434525,31246.8613818516,4053.36970936195,71674.8790654223
b_t,2000,26755.0818462788,34467.7295268176,4244.22584976229,76986.7780057464
b_t,2001,46376.7115429066,61344.7166606925,7374.1206293296,138303.284563696
b_t,2002,81604.1646781813,105343.882462865,12243.2355523897,249332.857376808
b_t,2003,152786.763340737,204308.433188803,22687.7795106214,450515.687684085
b_t,2004,244545.090116782,334910.928299834,35069.052130029,724513.273761726
b_t,2005,244602.922008749,300229.568590829,37149.6585909379,749762.99758177
b_t,2006,266871.694738593,330312.590723314,41004.1159173241,804468.91513424
b_t,2007,323411.465512421,425812.57631432,46407.6302137873,930904.215131064
b_t,2008,291887.971065436,360462.32235547,47367.9676240207,847727.308143636
b_t,2009,303265.302826835,377135.772565572,47809.7526098737,867183.510605299
b_t,2010,404104.66033564,480847.697485304,60464.9678818271,1199253.98622982
b_t,2011,380375.541218671,504347.670079395,63062.5081731348,1057644.8921498
b_t,2012,443351.509076857,506372.313228414,74793.9727742708,1289139.8422139
b_t,2013,573647.399182121,669449.707289097,100696.202369577,1630566.3052166
b_t,2014,559145.383428117,632826.815617012,91695.1355056267,1754118.84496541
b_t,2015,515616.885049523,575552.250257216,90376.0668378158,1439166.21185455
b_t,2016,387124.823078776,518571.094661898,58135.4208776362,1107872.85067778
b_t,2017,281294.008154438,359223.986363836,40105.9381549326,897829.348496965
b_t,2018,127532.787752328,161215.882651127,20282.3346629407,378070.857082078
b_t,2019,250047.498030703,314955.452200238,41624.3759321411,746002.482074125
b_t,2020,384510.503376558,452930.863376323,59446.4827620572,1128304.2405795
b_t,2021,379076.015156792,470141.749819537,52732.2328850352,1091987.46368243
bmsy,1990,194148.492931149,202502.086516234,42312.1987540281,520903.663369812
ck,1990,0.0018847872329515,0.00142819850137665,0.000379468922206415,0.00467162428537882
ck,1991,0.0018847872329515,0.00142819850137665,0.000379468922206415,0.00467162428537882
