variable,year,mean,sd,lower,upper
b_t,1990,34762.7772310047,7773.99052476967,20304.0111729894,39267.035499265
b_t,1991,35506.9236187115,11702.4338582008,18169.0167172017,40216.8622717613
b_t,1992,35070.3657622346,12670.5166504124,22082.7442573552,46412.8506836456
b_t,1993,31035.5310155853,12809.2334045253,22339.7344152,43487.2412306543
b_t,1994,20762.202006547,12821.8417778548,16857.5616698812,33599.1074142312
b_t,1995,14813.1653590924,6510.97492366952,12540.8677626804,22278.5137470047
b_t,1996,13469.4044325064,7096.60390634937,10733.0998194559,20859.3255904999
b_t,1997,13530.1290351645,5285.11998728761,8860.58295926249,17748.3393368084
b_t,1998,14732.237648448,6594.79938450997,11005.5168782966,22010.1831908013
b_t,1999,13934.5918604254,8660.59185434582,11449.8797377296,20955.2003628376
b_t,2000,20912.3189351509,6304.85487966681,13255.8498261786,24955.8753426376
b_t,2001,15121.7834357492,5927.3511206205,12220.2194288331,20909.0542589051
b_t,2002,17176.7996723181,6608.85371551042,13242.8497133114,22122.4300259381
b_t,2003,15909.2344208575,7769.55425778881,11940.4504328297,21714.7776621163
b_t,2004,13609.0020421296,6911.94799378512,10214.640479572,18715.6810916109
b_t,2005,11146.8497526762,6308.86754703886,8465.36007250389,16477.6864003194
b_t,2006,10784.0657002587,5255.38925075041,8116.0939302937,14511.632209198
b_t,2007,8109.74774190166,4943.31439678256,6276.44592653633,11880.4281635999
b_t,2008,5116.45500644008,2345.69994018285,3677.26516994746,6684.87862611729
b_t,2009,4454.15962027934,1443.44964346394,2567.4702697442,5029.67677941223
b_t,2010,5656.70167745832,1741.73235700701,3290.22357328474,6282.18038289772
b_t,2011,6855.47419404797,2382.57744129548,4880.06365092268,7864.48548561984
b_t,2012,7080.30751249421,2517.52868521841,5298.26633643649,9066.70445471961
b_t,2013,8154.65173825576,5561.34713981098,6145.21931880183,14153.1080502545
b_t,2014,8440.57646974533,4219.48896009461,7012.90762695323,12297.3624905715
b_t,2015,12067.1323380315,8224.85364022161,9403.78512535942,20534.1720463516
b_t,2016,5895.96533201037,3407.12527732161,4486.38491844187,9635.07294188323
b_t,2017,4586.51718368555,2321.90552686144,3522.0555136272,6744.20425621379
b_t,2018,4227.14778270359,2005.38519138635,3148.26914641718,5775.57158815484
b_t,2019,5834.3271702135,2062.49125213215,3604.42553205932,7701.87585707502
b_t,2020,5413.28983687266,2332.20498768227,3587.56758464293,7097.94708579496
b_t,2021,5361.80730160957,3139.06204972914,3466.21545151815,8607.12295980417
bmsy,1990,30934.018832995,6588.08315728566,18305.4303518707,34445.9732654324
ck,1990,0.101981828345632,0.0265517100974955,0.0869332382485549,0.163585343110398
ck,1991,0.112147657619692,0.0291984576226592,0.0955989826523597,0.179891980251307
ck,1992,0.146782995548397,0.0382160195425633,0.125123478661303,0.235449266590688
ck,1993,0.125565871133861,0.0326919870193575,0.107037184645992,0.201415648705305
ck,1994,0.108486596825851,0.0282452738405651,0.0924781534282089,0.174019405736574
ck,1995,0.0487006226529484,0.0126795610083215,0.0415142864235877,0.0781188981959823
ck,1996,0.0559205751021967,0.0145593280948698,0.0476688519633084,0.089700161425037
ck,1997,0.0372406509587406,0.00969587409971995,0.0317453651777575,0.0597363742498647
ck,1998,0.0640941061768174,0.0166873663060566,0.0546362846497847,0.102811025457929
ck,1999,0.0553927012202941,0.0144218922937307,0.0472188719356402,0.0888534181229127
ck,2000,0.0726763138051691,0.0189218064278028,0.0619520889705848,0.116577432692466
ck,2001,0.0610971447827898,0.0159070856286215,0.05208155933141,0.0980037086458686
ck,2002,0.0535366285387656,0.0139386502832737,0.0456366840964195,0.0858761594154434
ck,2003,0.08437468015572,0.0219675611175639,0.0719242270031039,0.135342356839543
ck,2004,0.0581512679579786,0.0151401051900062,0.0495703804673259,0.0932783347340138
ck,2005,0.0385347933788889,0.0100328134831579,0.0328485420197829,0.0618122610550727
ck,2006,0.0386539907070604,0.0100638473737377,0.0329501504131273,0.0620034611555523
