variable,year,mean,sd,lower,upper
b_t,1950,513660.834218578,44162.1839854519,446570.469590306,588921.846817966
b_t,1951,506625.591623154,86287.8271187199,392846.940352842,675816.655182894
b_t,1952,563997.594373597,56559.6746045024,479218.988935171,659542.159778702
b_t,1953,324642.52880652,18644.378404149,283025.196727087,350658.158916728
b_t,1954,400617.762105282,21165.9010139917,358425.543721575,428841.337378054
b_t,1955,456121.536722057,34434.4526401793,411514.480892411,523003.879442458
b_t,1956,710542.968438908,37945.2632580088,627644.080795697,761898.009647379
b_t,1957,454908.895225563,54502.0510481607,387946.381424357,555890.525460447
b_t,1958,439732.899512251,29369.5286803692,393353.161620997,482810.92150873
b_t,1959,548515.400334014,36450.1377216174,499029.062951468,607199.878888907
b_t,1960,602515.238643898,39992.8246602901,530322.019278713,660426.060808815
b_t,1961,570210.307415857,79491.0778041962,453116.952936028,719474.393232267
b_t,1962,534626.688507002,39671.1342489232,465684.523788792,590052.573660502
b_t,1963,389743.727711351,31214.9263671167,333808.968701843,431192.663218069
b_t,1964,610070.62482476,95249.2226139905,505248.658441488,776573.41851333
b_t,1965,583941.871628024,77360.7600505147,484872.674810013,714424.08053549
b_t,1966,612007.445662372,45784.848869722,547137.949923174,695254.441493782
b_t,1967,529740.131417572,43540.9136090921,471320.426474956,612068.717506748
b_t,1968,712525.385689205,118254.918999084,512925.944952326,876086.256055526
b_t,1969,689712.322613622,68952.277998871,531108.175545605,792169.596034664
b_t,1970,593235.448101787,39467.3938941819,510900.543341761,647800.817073204
b_t,1971,608626.317989402,44889.3390295264,522635.829506607,671561.011718161
b_t,1972,650299.740620006,62462.2706877592,520452.594029502,740589.693328549
b_t,1973,437108.086017019,45812.0528638795,354835.78339213,505769.427475206
b_t,1974,551526.655298942,44373.9881925863,452345.554082146,613165.650753551
b_t,1975,721040.249004852,87112.1271475422,571813.64341588,844890.593327485
b_t,1976,343688.610814308,24119.1773301503,308203.996445552,380348.347965719
b_t,1977,258431.510784323,22613.4141516168,223335.570258961,297590.544058519
b_t,1978,146344.008724966,20725.0122574512,114864.180762664,182412.755048652
b_t,1979,140901.643614445,16518.8180079055,116556.483901306,171637.061156257
b_t,1980,138348.461247705,16646.2736948848,116109.663596977,170105.342726554
b_t,1981,160350.897814315,17543.618091695,137131.829961743,191988.890667628
b_t,1982,236232.107643342,34266.010474477,193594.292737337,305582.744331168
b_t,1983,203258.00732499,22489.5256468805,173686.421770302,248890.433787149
b_t,1984,169685.279040668,14967.956912584,149291.359239428,197414.425387234
b_t,1985,164422.724034963,13263.4961482636,146851.911933604,187607.801671088
b_t,1986,123479.464095055,8648.37534743449,112459.422464137,137282.745521384
b_t,1987,111810.382628791,10595.6577422494,97334.6300173671,129856.416655898
b_t,1988,105814.534280041,10308.3118866126,90000.6688500535,120351.276002105
b_t,1989,143747.784050825,16584.1819878249,121635.165077692,172256.090843624
b_t,1990,140258.590106948,16118.4770422834,117411.713463241,168242.433080095
b_t,1991,96971.5399097525,6747.00979575812,83983.993693288,105739.899078655
b_t,1992,85412.3789907371,9407.97469123006,70788.137545624,100205.279761718
b_t,1993,98387.4848170742,13522.0024616255,76979.3402293086,119006.351623043
b_t,1994,94846.1383700306,14725.4799523978,72234.0263019593,115373.507288363
b_t,1995,77684.61950991,11883.4292884389,60239.6443148674,93800.9368520823
b_t,1996,72212.6100854198,13455.1063997698,52974.468305517,90870.8477081604
b_t,1997,78725.926167512,6387.00498677392,69954.7909657718,89921.8907233281
b_t,1998,83191.0953174494,5642.04347213739,74666.9168416937,91639.4639551204
b_t,1999,73774.9790439577,5261.86353301839,65019.9259615559,81145.2275132258
b_t,2000,49975.0444152406,3829.37101439302,41799.2235077023,55117.470164009
b_t,2001,43817.2986987528,2854.93779831254,39822.9150102571,49281.3977994302
b_t,2002,43550.5106922367,5155.31810885023,36241.3458765832,51459.6844215091
b_t,2003,24258.7445224553,3213.93932013716,19792.0153090035,29470.1703163939
b_t,2004,26005.7721006918,5463.22142089027,18503.1405951696,34266.4053161039
b_t,2005,33990.7787552549,3714.63668826546,28262.0033582249,40225.3692370281
b_t,2006,42540.9858939353,4816.97048935498,34365.3460247707,50318.3944039023
b_t,2007,39420.6171801494,3561.45475072236,35327.9113669615,46233.7818877399
b_t,2008,39418.7639544992,4361.94751846292,34174.152752772,48046.2774939075
b_t,2009,41595.3350514584,3694.87152909616,36025.2779499188,47752.3397360178
b_t,2010,40302.107580408,3816.82193181433,34716.3442212891,46809.09405482
b_t,2011,65135.5316302403,6104.2836327519,55759.3388933948,75180.6540367751
b_t,2012,64305.6319942527,4957.6232682693,56668.9837682647,72651.3420951074
b_t,2013,85165.4676314234,10988.703006786,68925.1295133244,104414.982410962
b_t,2014,94595.3357392251,13730.9913305753,74032.8031764514,118575.093954175
b_t,2015,72954.1336533768,13144.5857811712,53750.3135060116,96107.0478385374
b_t,2016,92939.3166559666,23156.2922242546,59016.6738317398,132710.261833307
b_t,2017,114400.4348224,33366.6196132094,64143.6362942687,169711.885312054
b_t,2018,181989.754257348,63357.3295498177,86983.1992696799,290036.512305582
b_t,2019,200208.82802229,69338.6072213495,91492.6215175112,316816.403342963
b_t,2020,347408.997155227,127886.169795935,147074.689169257,563452.472872916
b_t,2021,337925.810278979,102936.151309502,161403.794410334,496495.291952903
bmsy,1950,309374.234976313,14143.6193886781,294072.244302292,334501.465889413
ck,1950,0.0375711160643343,0.00166572274599019,0.0346784728416887,0.0394460892680412
ck,1951,0.0369233382011561,0.00163700338830071,0.0340805681375216,0.0387659842806612
ck,1952,0.0403241719828415,0.00178778001617051,0.0372195678343986,0.0423365354644063
ck,1953,0.0267208368560998,0.0011846735046913,0.0246635690468906,0.0280543307294258
ck,1954,0.0276925036508671,0.00122775254122553,0.0255604261031412,0.0290744882104959
ck,1955,0.0283402815140452,0.00125647189891502,0.0261583308073083,0.0297545931978759
ck,1956,0.0341702822826488,0.00151494611812039,0.0315394731448117,0.0358755380842961
ck,1957,0.0378950049959234,0.00168008242483494,0.0349774251937722,0.0397861417617312
ck,1958,0.0377330605301288,0.00167290258541257,0.0348279490177304,0.0396161155148862
ck,1959,0.0518222290542542,0.00229754861515889,0.0478323763333637,0.0544083989904016
ck,1960,0.0503647288621033,0.00223293006035755,0.0464870907489878,0.0528781627687966
ck,1961,0.0468019506146233,0.00207497359306537,0.0431986148760691,0.0491375853382065
ck,1962,0.0819438996920394,0.00363299874771999,0.0756349450771313,0.0860332809035726
ck,1963,0.0536036181779942,0.00237652684880498,0.049476614269823,0.0562786877056967
ck,1964,0.162268354726133,0.00719419910121627,0.149775128393845,0.170366299338695
ck,1965,0.0936039012292466,0.00414994718613074,0.0863972297521381,0.0982751706764129
ck,1966,0.0963569571477538,0.00427200445631106,0.0889383247448481,0.101165616872778
ck,1967,0.120648627016935,0.00534898036966679,0.111359751151112,0.126669553899529
ck,1968,0.119676960222168,0.00530590133313256,0.110462894094862,0.125649396418459
ck,1969,0.142511129899199,0.00631825869168695,0.13153903491675,0.149623097223604
ck,1970,0.117906907211034,0.00522742568824604,0.108829119490725,0.123791009540443
ck,1971,0.135215531715155,0.00599480692570911,0.124805133186069,0.141963414803237
ck,1972,0.158119337512477,0.00701025161521511,0.145945548763655,0.166010226894526
ck,1973,0.188645869314749,0.00836365134633215,0.174121807947527,0.198060174424809
ck,1974,0.129097269797437,0.00572355259233191,0.119157923255211,0.135539823197433
ck,1975,0.172592314420536,0.00765191386439246,0.159304234616507,0.181205472575064
ck,1976,0.108483358746449,0.00480963083225824,0.100131100806855,0.113897182236532
ck,1977,0.0588538577590533,0.00260929724287826,0.054322631897097,0.0617909386284117
ck,1978,0.0454059893194743,0.00201308337724453,0.0419101302385891,0.0476719590904025
ck,1979,0.0524359985796155,0.00232476020656968,0.0483988910405619,0.0550527984659442
ck,1980,0.0453217781972612,0.0020093498607449,0.0418324026270474,0.0475835454420431
ck,1981,0.0604992135315258,0.00268224441140956,0.0558413098456812,0.063518405296357
ck,1982,0.0581720715580582,0.00257907011891008,0.0536933371959611,0.0610751281291943
ck,1983,0.0713106260679696,0.00316157049124708,0.0658203393582292,0.0748693575357295
ck,1984,0.0619745276149141,0.00274765274854736,0.0572030378094217,0.065067344405115
ck,1985,0.0758288766636374,0.00336188801113125,0.0699907246697944,0.0796130898227052
ck,1986,0.0631793944404256,0.00280107075384981,0.0583151405591724,0.0663323396816418
ck,1987,0.0768394101301954,0.00340669020912684,0.070923456008295,0.080674053603018
ck,1988,0.0498513649055346,0.00221016996938863,0.0460132512709354,0.0523391795662979
ck,1989,0.0419500944194188,0.00185986560397112,0.0387203086418579,0.0440435989827301
ck,1990,0.0460294755127833,0.00204072575902066,0.0424856135163499,0.0483265601407558
ck,1991,0.0544732599593109,0.00241508258650311,0.0502793013351673,0.0571917286512544
ck,1992,0.0528829653052084,0.00234457656337542,0.0488114452864372,0.0555220709072364
ck,1993,0.049393062067336,0.00218985102382332,0.0455902336927372,0.0518580052877265
ck,1994,0.0373945965966182,0.00165789672101981,0.0345155438098031,0.0392607606589801
ck,1995,0.0335370794213922,0.00148687294597892,0.0309550212964884,0.0352107354591321
ck,1996,0.035056118510545,0.00155421983976077,0.0323571078277601,0.0368055816545382
ck,1997,0.0380342772365067,0.00168625708673818,0.0351059747051681,0.0399323643340179
ck,1998,0.0400245747211216,0.00177449731323912,0.0369430369087213,0.042021986907743
ck,1999,0.0482286813582732,0.00213822797837647,0.044515499986997,0.050635516572911
ck,2000,0.0225912529783389,0.00100158759942083,0.0208519265578257,0.0237186614348782
ck,2001,0.0236940947903998,0.00105048230588718,0.0218698593166701,0.0248765401758927
ck,2002,0.0163644882685387,0.000725522773630643,0.01510456758902,0.0171811522436878
ck,2003,0.0107952180898643,0.000478608095895286,0.00996408189494382,0.011333949614688
ck,2004,0.0113344931609602,0.000502516961171783,0.0104618375611629,0.0119001370166819
ck,2005,0.0171661133742217,0.000761062978771382,0.0158444746604267,0.0180227821655705
ck,2006,0.0188892024902756,0.000837456470225415,0.0174349011735111,0.0198318614320014
ck,2007,0.0188470969291691,0.000835589711975599,0.0173960373677402,0.0197876546078217
ck,2008,0.0201458915448413,0.000893172024143018,0.0185948362995951,0.0211512651075186
ck,2009,0.0232212169502797,0.00102951717477385,0.0214333888826282,0.0243800635351053
ck,2010,0.0192697719848928,0.000854329092867988,0.0177861701872092,0.0202314231120872
ck,2011,0.0343079350785742,0.00152104898162941,0.0316665278944472,0.0360200603941143
ck,2012,0.0431586163315231,0.00191344565824933,0.0398357850689019,0.0453124317516482
ck,2013,0.0471873784432143,0.00209206161089062,0.0435543681750485,0.0495422478056976
ck,2014,0.0446336421537623,0.00197884121527296,0.041197246965049,0.0468610682136869
ck,2015,0.0483890063794098,0.00214533601940461,0.0446634814012783,0.0508038425572875
ck,2016,0.0499193815811683,0.00221318550194602,0.046076031264873,0.0524105905899728
ck,2017,0.0510802108480962,0.00226465109351434,0.0471474869580726,0.0536293506291951
ck,2018,0.0370334604378964,0.00164188567910792,0.03418221193723,0.0388816021285158
ck,2019,0.035412396335293,0.00157001548648998,0.032685955415052,0.0371796393975973
ck,2020,0.0338868794675084,0.00150238139913124,0.0312778898367386,0.0355779921523173
ck,2021,0.0307079096039615,0.00136144115127009,0.0283436725010388,0.0322403769267499
crashed,1950,0,0,0,0
delta,1950,100,0,100,100
dep_t,1950,0.828897208088146,0.0386880283388853,0.759082932752198,0.891740616178944
dep_t,1951,0.814755795379843,0.103444273391847,0.668967520176974,1.01308130165195
dep_t,1952,0.909655914889969,0.0557727953867894,0.814543401750616,1.00272550073596
dep_t,1953,0.525268775674126,0.0318242221280828,0.476548734481266,0.585966514388814
dep_t,1954,0.648611083605015,0.0424923611691529,0.576846325273482,0.711490707598569
dep_t,1955,0.739711956032726,0.0751895431458316,0.625075697192709,0.860402722611499
dep_t,1956,1.15040675529997,0.0762890225565832,1.02431276717233,1.25633437093075
dep_t,1957,0.733221708645627,0.0591895995592006,0.652081478948855,0.832200428924734
dep_t,1958,0.711395004867517,0.0479442068890613,0.646528075877034,0.806388906005323
dep_t,1959,0.886241482566932,0.0374092665693793,0.832308692493159,0.945618053535095
dep_t,1960,0.974061725176147,0.0540178378422302,0.890272176905204,1.06464759488379
dep_t,1961,0.921089801674338,0.116593836675236,0.74714318224735,1.14212025353638
dep_t,1962,0.866114614737364,0.0778184641824645,0.70744375601273,0.979227198955315
dep_t,1963,0.629774690725311,0.0405805364774608,0.562100194979528,0.68854893438259
dep_t,1964,0.981689723898553,0.111231981627235,0.84713993205479,1.16741392654791
dep_t,1965,0.940423528952789,0.0841613017082837,0.818025553650625,1.07297679947263
dep_t,1966,0.988218962729648,0.0397820460279829,0.922558778379846,1.04421225279251
