variable,year,mean,sd,lower,upper
b_t,1950,110977.596470113,174591.207627684,21957.6111870301,308213.121996414
b_t,1951,97745.2481031382,194702.195139416,16009.3223185082,267469.473340959
b_t,1952,116578.515589895,188606.935881029,19153.3337242387,336970.183407676
b_t,1953,126637.446091991,224229.85126045,19679.0267350331,342135.195856498
b_t,1954,118725.077813917,211591.065484999,19151.4635935124,335860.570181982
b_t,1955,153845.480205069,265603.694401432,26543.9289598287,438165.78654611
b_t,1956,141827.846949903,248468.463953428,23230.9843724594,400737.392190311
b_t,1957,143574.020420128,260575.635274413,22471.5169603586,394126.434352554
b_t,1958,132752.137570072,239449.852799789,21352.97967478,374434.406242444
b_t,1959,169659.33517566,276782.483720125,28946.5330086012,495671.812868982
b_t,1960,200234.988727374,361136.159974533,31003.2550985937,592179.178535763
b_t,1961,111687.101965796,180806.661220572,18155.6520159801,322374.174744799
b_t,1962,68448.1316316354,116027.073961248,11113.6279379707,189196.904857566
b_t,1963,79630.1262676666,138327.128186845,13536.5490313466,228207.465311333
b_t,1964,116134.889921101,191060.825974813,19698.4645683271,333320.92834785
b_t,1965,145292.494227705,235592.179106555,23851.7331121562,409827.359668968
b_t,1966,157972.747557859,260476.459629764,27142.6730836917,466485.568186293
b_t,1967,258957.84290502,434186.157865671,42304.9674525188,759428.546628674
b_t,1968,92892.7341905256,166311.276962379,14933.7719432166,261580.353133116
b_t,1969,92194.9227369824,144567.253827698,15005.263385242,264670.184244349
b_t,1970,99961.0957286483,167703.975251615,16617.782569221,279628.445407232
b_t,1971,160147.29875716,247606.174326114,27915.5664547718,477329.039413415
b_t,1972,207331.205240272,310903.602771511,36411.8930336099,585959.564445641
b_t,1973,170802.704521815,283837.340031696,30387.4080057312,494971.299570045
b_t,1974,244219.267758518,420669.939241632,42621.2304327844,690107.408398479
b_t,1975,238704.016127853,391861.019229714,41323.0174660192,701580.556840323
b_t,1976,156097.902890687,262128.836247376,23877.0272553236,462396.390423251
b_t,1977,77917.8299985157,131543.344194658,12268.3291576305,217249.277611662
b_t,1978,63722.0972191664,110584.607158813,9966.14877571925,178993.961872413
b_t,1979,40157.7749553275,67761.493140874,6443.43134453822,114485.0491338
b_t,1980,39815.5516780199,63380.0834280581,6371.24558993284,118784.995526513
b_t,1981,47537.8275943568,73703.9242899217,7711.01044646,139994.577842156
b_t,1982,66511.3649978819,102983.064039763,10936.0364274854,192522.219984771
b_t,1983,80822.1874132901,162391.36942767,13597.137086588,229745.786697147
b_t,1984,127053.359887618,212270.178105722,20668.6943593939,372202.734021537
b_t,1985,137225.745020394,235826.300542574,20910.1998476252,407944.077340062
b_t,1986,86009.1841577449,123657.918599756,14644.5177885298,262165.511846757
b_t,1987,83057.6374925905,131207.245060489,14688.7928247757,232696.299716743
b_t,1988,127733.504276702,190277.984814433,20949.8522008557,365870.881011942
b_t,1989,107368.339432931,185208.580067315,17304.2998733399,311059.66573697
b_t,1990,97991.2292064636,158544.00516522,16475.4080406849,292044.125014428
b_t,1991,109883.044712337,184677.831711152,19498.1667208809,320304.418671452
b_t,1992,130581.267986922,252907.023370853,21997.7965793958,384813.194448455
b_t,1993,155707.378959236,269037.139668316,25194.8485110479,460607.906206857
b_t,1994,129844.426999474,216739.163448921,21593.9588186404,375860.870143281
b_t,1995,107609.069090285,200132.193021874,17449.0038734153,321612.777321555
b_t,1996,106303.081603452,176150.243097531,17601.8733650149,310687.700125423
b_t,1997,98193.5661236028,180243.316756045,15854.2696698497,272941.546634051
b_t,1998,130498.44660775,206734.159902138,21465.0168104449,392775.972522723
b_t,1999,128182.755579788,207149.073191084,21827.2022390954,362667.079813897
b_t,2000,149369.769315391,238525.24494441,25541.6026415078,436906.508379355
b_t,2001,144938.399025285,241571.22705087,23485.1039734011,437810.806967794
b_t,2002,114173.821884914,201026.714403916,19188.9927538141,323388.786235865
b_t,2003,104251.890384047,161737.767937932,17271.7978541506,313276.874512026
b_t,2004,100193.384971593,167558.742614994,16853.3465700786,284482.071967626
b_t,2005,98226.8731721399,159167.494970855,16244.2189361076,279025.547855536
b_t,2006,114167.8724139,178972.908854469,19244.6731990953,329942.225017722
b_t,2007,129376.333682001,211022.70503098,21934.1825218405,364848.945894902
b_t,2008,228506.42966651,413171.820242631,35711.5890891196,678306.891814712
b_t,2009,105022.053259668,177912.549489453,15857.5925788536,304664.39202502
b_t,2010,64417.4567478699,110882.09312858,10214.890677697,190119.710832119
b_t,2011,52714.5171517138,83306.2627306219,8775.75608870767,148417.713494612
b_t,2012,49320.7458645289,79092.4171385688,8896.60982586577,137386.475764309
b_t,2013,63729.2118350679,90237.9936028768,10967.7430707655,182960.908386037
b_t,2014,107410.623191683,162577.635974011,18408.4791233446,315426.405243289
b_t,2015,163399.548722806,278624.908032113,25891.4883387641,467201.124296448
b_t,2016,143294.454177809,251472.778820728,17809.0359296626,438082.975744968
b_t,2017,128974.302871518,231061.456876131,14160.8085435144,408976.2994457
b_t,2018,121644.834725002,202695.150455172,12224.5094377059,386044.541053121
b_t,2019,120740.483830864,220759.219645528,10725.7076203251,355170.653304954
b_t,2020,121825.122539357,250185.12156165,8799.03823753229,377093.53614697
b_t,2021,114230.658673241,199074.253223686,6226.03071976071,373897.91334163
bmsy,1950,77405.6106569201,121332.407649412,15918.5106535879,210110.316897529
ck,1950,0.00263434676000969,0.00188019168415065,0.000475941081557121,0.00628199519696551
ck,1951,0.00263434676000969,0.00188019168415065,0.000475941081557121,0.00628199519696551
ck,1952,0.00395152014001453,0.00282028752622597,0.000713911622335682,0.00942299279544827
ck,1953,0.00526869352001938,0.00376038336830129,0.000951882163114243,0.012563990393931
ck,1954,0.00526869352001938,0.00376038336830129,0.000951882163114243,0.012563990393931
ck,1955,0.00658586690002422,0.00470047921037662,0.0011898527038928,0.0157049879924138
ck,1956,0.00658586690002422,0.00470047921037662,0.0011898527038928,0.0157049879924138
ck,1957,0.00790304028002906,0.00564057505245194,0.00142782324467136,0.0188459855908965
ck,1958,0.00658586690002422,0.00470047921037662,0.0011898527038928,0.0157049879924138
ck,1959,0.0118545604200436,0.00846086257867791,0.00214173486700705,0.0282689783863448
ck,1960,0.0144889071800533,0.0103410542628286,0.00261767594856417,0.0345509735833103
ck,1961,0.00658586690002422,0.00470047921037662,0.0011898527038928,0.0157049879924138
ck,1962,0.00395152014001453,0.00282028752622597,0.000713911622335682,0.00942299279544827
ck,1963,0.00658586690002422,0.00470047921037662,0.0011898527038928,0.0157049879924138
ck,1964,0.0144889071800533,0.0103410542628286,0.00261767594856417,0.0345509735833103
ck,1965,0.0144889071800533,0.0103410542628286,0.00261767594856417,0.0345509735833103
ck,1966,0.0144889071800533,0.0103410542628286,0.00261767594856417,0.0345509735833103
ck,1967,0.0526869352001938,0.0376038336830129,0.00951882163114243,0.12563990393931
ck,1968,0.00790304028002906,0.00564057505245194,0.00142782324467136,0.0188459855908965
ck,1969,0.0105373870400388,0.00752076673660259,0.00190376432622849,0.0251279807878621
ck,1970,0.00922021366003391,0.00658067089452726,0.00166579378544992,0.0219869831893793
ck,1971,0.0329293345001211,0.0235023960518831,0.00594926351946402,0.0785249399620689
ck,1972,0.0463118160409703,0.0330537698073684,0.00836704421377419,0.110437475562654
ck,1973,0.051119498877988,0.0364851196309433,0.00923563668761594,0.121902116797116
ck,1974,0.0902922351993321,0.0644435699742634,0.0163128805703703,0.215315385375993
ck,1975,0.0578765983174129,0.0413078113007897,0.01045642556181,0.138015434477332
ck,1976,0.0299788661289103,0.0213965813656344,0.00541620950812004,0.0714891053414675
ck,1977,0.0129082991240475,0.00921293925233817,0.00233211129962989,0.030781776465131
ck,1978,0.0107481347808395,0.00767118207133464,0.00194183961275306,0.0256305404036193
ck,1979,0.00819281842363013,0.00584739613770851,0.00148017676364265,0.0195370050625627
ck,1980,0.00857479870383154,0.00612002393191035,0.00154918822046843,0.0204478943661228
ck,1981,0.00958902220643527,0.00684389773030835,0.00173242553686792,0.0228664625169545
ck,1982,0.0140937551660518,0.010059025510206,0.0025462847863306,0.0336086743037655
ck,1983,0.014949917863055,0.0106700878075549,0.00270096563783666,0.0356503227427793
ck,1984,0.0341938209449258,0.0244048880602754,0.00617771523861143,0.0815402976566124
ck,1985,0.0391990797889442,0.0279772522601616,0.00708200329356997,0.0934760885308469
ck,1986,0.0230241906824847,0.0164328753194766,0.00415972505280924,0.0549046380214786
ck,1987,0.0319941414003177,0.0228349280040096,0.00578030443551124,0.0762948316671462
ck,1988,0.0470757766013731,0.0335990253957721,0.00850506712742576,0.112259254169774
ck,1989,0.0267122761464982,0.0190651436772876,0.00482604256698921,0.0636994312972303
ck,1990,0.0259483155860954,0.0185198880888839,0.00468801965333765,0.0618776526901103
ck,1991,0.0385931800341419,0.027544808172807,0.00697253684481183,0.0920312296355448
ck,1992,0.047589474219575,0.0339656627741814,0.0085978756383294,0.113484243233182
ck,1993,0.0504740839217856,0.0360244726683264,0.00911903112263445,0.120363027973859
ck,1994,0.0470099179323729,0.0335520206036683,0.00849316860038683,0.11210220428985
ck,1995,0.0267913065492985,0.0191215494278121,0.00484032079943592,0.0638878911531393
ck,1996,0.0306769680203128,0.0218948321619343,0.00554233389473268,0.0731538340686634
ck,1997,0.0306374528189127,0.021866629286672,0.00553519477850932,0.0730596041407089
ck,1998,0.0468386853929723,0.0334298081441985,0.00846223243008562,0.111693874602047
ck,1999,0.0437564996837609,0.0312299838737422,0.00790538136466378,0.104343940221597
ck,2000,0.0650288497708392,0.0464125317232587,0.0117486055982375,0.155071051437094
ck,2001,0.0582585785976143,0.0415804390949915,0.0105254370186357,0.138926323780892
ck,2002,0.0487485867939793,0.0347929471152077,0.00880728971421453,0.116248321119847
ck,2003,0.0379345933441395,0.0270747602517693,0.00685355157442255,0.0904607308363034
ck,2004,0.0318755957961172,0.0227503193782228,0.00575888708684117,0.0760121418832827
ck,2005,0.0401474446225476,0.0286541212664559,0.00725334208293053,0.0957376068017544
ck,2006,0.0414909614701526,0.0296130190253727,0.00749607203452466,0.0989414243522068
ck,2007,0.0323761216805191,0.0231075557982114,0.00584931589233702,0.0772057209707062
ck,2008,0.135221019191297,0.0965102391474527,0.024430055716327,0.32245481346024
ck,2009,0.0444019146399633,0.0316906308363591,0.00802198692964528,0.105883029044854
ck,2010,0.0185194577228681,0.013217747539579,0.00334586580334656,0.0441624262346676
ck,2011,0.0276211257787016,0.0197138098083195,0.00499024224012642,0.0658667196401834
ck,2012,0.0232170116935836,0.0165704959497981,0.00419456156027381,0.0553644486599205
ck,2013,0.018479942521468,0.0131895446643168,0.00333872668712321,0.0440681963067131
ck,2014,0.0439797605716717,0.031389330118974,0.00794571737132575,0.10487633931454
ck,2015,0.0839961464429089,0.0599499118491434,0.0151753813854488,0.200301416855245
ck,2016,0.0772917339386843,0.05516482401298,0.0139641113328859,0.184313739078968
ck,2017,0.0565989401388082,0.0403959183339766,0.0102255941372548,0.134968666806804
ck,2018,0.0411089811899512,0.0293403912311708,0.00742706057769888,0.0980305350486468
ck,2019,0.0542016845871993,0.0386849439013996,0.00979248775303777,0.129252051177565
ck,2020,0.0637248481246344,0.0454818368396041,0.0115130147628668,0.151961463814596
ck,2021,0.0528713394733944,0.0377354471009035,0.00955213750685143,0.126079643603098
crashed,1950,0,0,0,0
delta,1950,100,0,100,100
