variable,year,mean,sd,lower,upper
b_t,1961,14479.8652408586,17476.3318467622,7005.51166485511,30339.2636572357
b_t,1962,10365.315909929,17971.4474236818,4042.94534319843,23453.6727751832
b_t,1963,14664.4414111744,21939.4245402948,5924.90872716161,30923.1300426134
b_t,1964,19634.3200243802,26669.6530839377,5675.26212766694,46062.6989980112
b_t,1965,19658.1317478633,25710.3106933508,7223.19804778978,45392.5539927715
b_t,1966,24754.3628375081,33244.5711156501,10423.6478012419,54715.2133091156
b_t,1967,26325.4747758101,37073.4327404345,9863.80630241555,57487.2383235146
b_t,1968,26144.8578689946,34528.5392780154,9380.95699378632,60164.9013495682
b_t,1969,27990.887446979,43349.3155790358,8830.38766570102,63533.4133245964
b_t,1970,12715.0484963141,17816.5299318946,4640.35454609461,28828.7265240733
b_t,1971,12756.3329695196,19933.5210644447,4383.58429027624,30037.6763307812
b_t,1972,13095.1045276714,19788.6545220398,4834.72555036698,29893.2597995119
b_t,1973,14694.5491114511,21175.1138016762,5922.75250686752,30448.255014501
b_t,1974,17117.2081416848,26568.5291535725,6772.58513986245,38974.7927160988
b_t,1975,15519.9316679606,27301.4204937345,4618.32049732794,34928.2857761096
b_t,1976,10769.561475808,16588.9657479492,2785.09533376166,25197.8267866382
b_t,1977,9431.93450507246,15724.6127732106,2668.2239518861,21273.2969263414
b_t,1978,9047.55512050421,14141.0770848643,3014.48366020119,21412.6408104376
b_t,1979,7445.40695885457,11293.1849988978,2573.11710072943,16720.5114519512
b_t,1980,8088.77047444281,11788.2515212143,3219.4104481005,17763.85895874
b_t,1981,8390.77122586813,11977.1845474709,2235.38510725837,19418.5525418575
b_t,1982,11108.515496174,18236.0090584591,3909.09896502691,26821.2310550211
b_t,1983,10198.5516040856,15316.0823224555,3805.23547890357,23453.5148645028
b_t,1984,13576.6220785549,21855.7202029378,5047.25219024713,29995.8478560762
b_t,1985,13557.3020445913,19710.8835612925,5356.43078165714,29921.8415338937
b_t,1986,12294.347056215,17654.6518647019,4705.35014892031,27451.2033526805
b_t,1987,9760.96584672018,14072.8489358047,4378.27247860392,21367.2017589637
b_t,1988,10790.530160863,15038.3392710281,4266.02878688548,25128.159333332
b_t,1989,11982.6629316823,17448.8649389604,4752.33439383461,27826.7883135111
b_t,1990,15165.6919657991,22913.1062299666,5850.58052102535,33878.6644984994
b_t,1991,12362.7978101142,18599.9044390688,4550.1597230694,27508.009114275
b_t,1992,11283.8126900369,16929.8126190393,4562.98083957827,25985.7157351932
b_t,1993,12496.7558723089,23103.9034153401,4405.6070956968,27247.880916756
b_t,1994,10515.8852229222,17261.2745198757,3968.82450310581,22583.9048906919
b_t,1995,9096.73644224496,16202.3186529761,2690.67280328887,20862.8714009867
b_t,1996,4557.56372389299,7766.99627419266,1627.19020929638,10444.7890139603
b_t,1997,2477.22537079571,4046.72744515153,931.198836637271,5345.0938699528
b_t,1998,1909.08196550003,3019.8757787365,766.383384510844,4061.06060225892
b_t,1999,3441.61096293077,4433.89421575248,1485.83025287817,7217.24262451133
b_t,2000,5469.42775506283,8169.33516266329,1943.18220031472,11594.6875532338
b_t,2001,7350.50747477078,9529.97714701492,2925.97938514278,15406.4054369964
b_t,2002,6797.01330109884,8537.50824839008,2927.06166745366,14473.9650445929
b_t,2003,10143.749522483,14261.539177937,3963.81009312261,21655.81190571
b_t,2004,9477.7311526625,13556.5951215128,3338.91757308715,20865.453162175
b_t,2005,8522.54230037947,12606.7973440145,3241.76600337267,17962.7698407749
b_t,2006,9270.92092071378,13724.3448520744,3449.13496898858,19358.0835348338
b_t,2007,8062.70540979892,13553.1920025868,2857.22322557699,18351.6668107959
b_t,2008,6037.39656857862,9967.92544554476,2365.81839770469,13959.3266663455
b_t,2009,4305.73530920102,6693.48398391775,1435.45457443734,9996.06310910223
b_t,2010,2726.68960271127,3923.00220041023,977.501194637162,5912.32508463461
b_t,2011,1925.44501640551,2581.78943100675,644.425814553926,4220.73189268783
b_t,2012,2633.17797678581,3583.25913056984,1087.82300627977,5782.08210074438
b_t,2013,3980.3628809541,5457.40601113217,1436.11472976983,8278.23298235604
b_t,2014,5079.24193016748,7169.24202428034,1995.35448777639,11135.5199255646
b_t,2015,6162.76958237521,9254.75139187595,2211.02741723274,13980.6755237142
b_t,2016,7675.11337194579,12154.3513567306,1942.31718974178,19215.3465114376
b_t,2017,9337.96152819792,17271.6572669064,1595.54008811693,24858.2918540283
b_t,2018,11061.7085326593,18151.7048020441,1208.03298130759,28925.3267596645
b_t,2019,12111.5336808445,24394.9650235081,1109.03315998243,30366.5447242327
b_t,2020,13028.8549335336,20523.4166325112,726.31023361006,30737.3044196812
b_t,2021,13950.4270315347,23449.4333021374,525.506714895303,33993.545161768
bmsy,1961,10067.926256728,12164.2457645193,5031.14389566188,20913.7775994889
ck,1961,0.020250148300591,0.00727962465456168,0.00717230738975464,0.0298142970297262
ck,1962,0.020250148300591,0.00727962465456168,0.00717230738975464,0.0298142970297262
ck,1963,0.0540003954682426,0.0194123324121645,0.0191261530393457,0.07950479207927
ck,1964,0.108000790936485,0.0388246648243289,0.0382523060786914,0.15900958415854
ck,1965,0.0675004943353032,0.0242654155152056,0.0239076912991821,0.0993809900990875
ck,1966,0.135000988670606,0.0485308310304112,0.0478153825983643,0.198761980198175
ck,1967,0.189001384138849,0.0679431634425756,0.06694153563771,0.278266772277445
ck,1968,0.20250148300591,0.0727962465456168,0.0717230738975464,0.298142970297262
ck,1969,0.229501680740031,0.082502412751699,0.0812861504172193,0.337895366336897
ck,1970,0.0506253707514774,0.0181990616364042,0.0179307684743866,0.0745357425743156
ck,1971,0.0657454814825853,0.0236345147118102,0.0232860913254034,0.0967970843565112
ck,1972,0.0653404785165735,0.023488922218719,0.0231426451776083,0.0962007984159167
ck,1973,0.127170931327711,0.0457160428306473,0.0450420904076591,0.187233785346681
ck,1974,0.113063328011633,0.0406445709879694,0.0400453829261301,0.166463158415972
ck,1975,0.0816080976513816,0.0293368873578836,0.0289043987807112,0.120151617029797
ck,1976,0.0544053984342544,0.0195579249052557,0.0192695991871408,0.0801010780198645
ck,1977,0.0682429997729916,0.0245323350858728,0.0241706759034731,0.100474180990177
ck,1978,0.0512328752004951,0.018417450376041,0.0181459376960792,0.0754301714852074
ck,1979,0.0658804824712559,0.0236830455428407,0.0233339067080018,0.0969958463367094
ck,1980,0.0646654735732205,0.023246268063567,0.0229035682646165,0.0952069885149258
ck,1981,0.0623704567658202,0.02242124393605,0.0220907067604443,0.0918280348515568
ck,1982,0.0898431579602886,0.0322972680507386,0.0318211371192114,0.132276097821885
ck,1983,0.0686480027390034,0.0246779275789641,0.0243141220512682,0.101070466930772
ck,1984,0.113265829494639,0.040717367234515,0.0401171060000276,0.166761301386269
ck,1985,0.11799086409811,0.0424159463205794,0.0417906443909704,0.173717970693205
ck,1986,0.15248361670345,0.0548155736488494,0.0540074746448524,0.224501656633839
ck,1987,0.136621000534654,0.0491132010027761,0.0483891671895446,0.201147123960553
ck,1988,0.104085762265038,0.037417270724447,0.0368656599833389,0.153245486732793
ck,1989,0.106583280555444,0.0383150910985096,0.0377502445614086,0.156922583366459
ck,1990,0.194671425663014,0.0699814583458529,0.0689497817068413,0.286614775445768
ck,1991,0.155048635488192,0.0557376594384272,0.0549159669142214,0.228278134257604
ck,1992,0.129735950112453,0.0466381286202251,0.0459505826770281,0.191010262970446
ck,1993,0.130748457527482,0.0470021098529532,0.0463091980465158,0.192500977821932
ck,1994,0.12129838832054,0.0436049516808244,0.0429621212646303,0.17858763920806
ck,1995,0.140603529700437,0.0505448605181732,0.0497997209761964,0.207010602376399
ck,1996,0.051637878166507,0.0185630428691323,0.0182893838438743,0.0760264574258019
ck,1997,0.0261901918020977,0.00941498121989977,0.00927618422408267,0.0385598241584459
ck,1998,0.00931506821827184,0.00334862734109837,0.00329926139928713,0.0137145766336741
ck,1999,0.0386777832541287,0.0139040830902128,0.0136991071144314,0.0569453073267771
ck,2000,0.0820806011117287,0.02950674526649,0.0290717526198055,0.12084728396049
ck,2001,0.105705774129085,0.0379996406968119,0.0374394445745192,0.155630630495171
ck,2002,0.0785030749119577,0.0282206782441841,0.0278046449809488,0.115580091485239
ck,2003,0.157816155755939,0.0567325414745507,0.0558961822574878,0.232352754851667
ck,2004,0.11468333987568,0.0412269409603343,0.0406191675173105,0.16884830217835
ck,2005,0.117788362615104,0.0423431500740337,0.0417189213170728,0.173419827722908
ck,2006,0.122513397218575,0.0440417291600981,0.0433924597080156,0.180376497029844
ck,2007,0.102195748423649,0.0367378390900213,0.0361962446269618,0.150462819010018
ck,2008,0.0774230670025928,0.0278324315959408,0.0274221219201619,0.113989995643653
ck,2009,0.0670279908749561,0.0240955576065991,0.0237403374600879,0.0986853231683939
ck,2010,0.0322652362922749,0.0115988686162683,0.0114278764410091,0.0475041132673638
ck,2011,0.0226126656023266,0.00812891419759387,0.00800907658522602,0.0332926316831943
ck,2012,0.0427953134085822,0.0153842734366403,0.0151574762836815,0.0630075477228215
ck,2013,0.0612904488564553,0.0220329972878067,0.0217081836996574,0.0902379390099714
ck,2014,0.0658804824712559,0.0236830455428407,0.0233339067080018,0.0969958463367094
ck,2015,0.0762080581045573,0.0273956541166671,0.0269917834767766,0.11220113782187
ck,2016,0.0672979928522973,0.02419261926866,0.0238359682252846,0.0990828471287902
ck,2017,0.0465078405970239,0.0167188712899767,0.0164723993051365,0.0684735021782713
ck,2018,0.0479253509780653,0.017228445015796,0.0169744608224193,0.0705605029703521
ck,2019,0.0584554280943726,0.021013849836168,0.0207040606650917,0.0860639374258098
ck,2020,0.0419178069822233,0.0150688230349427,0.0148466762967921,0.0617155948515333
ck,2021,0.0357077615033754,0.0128364048075438,0.0126471686972674,0.0525725437624173
crashed,1961,0,0,0,0
delta,1961,100,0,100,100
dep_t,1961,0.720514705296019,0.0706497199511569,0.607588022239329,0.831148860734963
dep_t,1962,0.485919657596134,0.126295822019507,0.321867795735371,0.712160376543788
dep_t,1963,0.6954702020051,0.194069484284796,0.43355004197963,1.01924821543873
dep_t,1964,0.927032124830733,0.281114802546224,0.488072334693772,1.41619806983431
dep_t,1965,0.956610255973652,0.251612524589832,0.603449736846575,1.37118733718126
dep_t,1966,1.210587280714,0.254914730245476,0.801050493981075,1.62992523679351
dep_t,1967,1.25663221207123,0.263151192318172,0.853483440419985,1.69609276492775
dep_t,1968,1.24353322032718,0.258356638596719,0.889529676584473,1.69822769814731
dep_t,1969,1.29400757454084,0.340602567530397,0.817612412728549,1.89078741457886
dep_t,1970,0.610690111790067,0.181538211912553,0.362948546401714,0.885772551462066
dep_t,1971,0.607772569225672,0.182637914181748,0.33472252944265,0.907476593634392
dep_t,1972,0.61320143777952,0.182691067502431,0.404712485678449,0.942356135104629
dep_t,1973,0.718781413022079,0.18784841148118,0.453499514202846,1.01231281046246
dep_t,1974,0.80750960236285,0.229694362322574,0.524089335584867,1.22619524569248
dep_t,1975,0.704723813648764,0.260849378853932,0.397581690691274,1.18327192998439
dep_t,1976,0.487143269767998,0.165899030348109,0.246290932202013,0.772904251452318
dep_t,1977,0.429787568914165,0.160428624537093,0.226797023198919,0.703139501997363
dep_t,1978,0.416808984274227,0.139754336329716,0.243812947042183,0.657512938914393
dep_t,1979,0.353110690214831,0.103549221763811,0.226800624651684,0.539338275842004
dep_t,1980,0.389259758188223,0.107723778728887,0.244799843925839,0.563555613392342
dep_t,1981,0.399867079572511,0.140496397836481,0.194260081329457,0.638259610161631
dep_t,1982,0.50924265149323,0.170367500602115,0.318240995048689,0.793975963882268
dep_t,1983,0.479705705401299,0.143954667231194,0.29908792966602,0.74203708798531
dep_t,1984,0.643496780202639,0.186336756775543,0.400523239143041,0.971654958078572
dep_t,1985,0.64848832837174,0.185762731203577,0.416207770605159,0.997837577894401
dep_t,1986,0.585589967354784,0.176785559225152,0.385326654343759,0.90745511042208
dep_t,1987,0.476934813219787,0.123048423094202,0.313827427999061,0.679682644685996
dep_t,1988,0.515624527403443,0.15138993752155,0.330027854973486,0.799763482260927
dep_t,1989,0.573334018700294,0.168447766104521,0.371193795041839,0.880590456116418
dep_t,1990,0.725901899947314,0.216790849894494,0.454885567013739,1.11618557180449
dep_t,1991,0.587405641835254,0.177308402527485,0.387023404377954,0.879876979108283
dep_t,1992,0.536770403079085,0.14941179075318,0.355419447748006,0.78636175136654
dep_t,1993,0.566717322684287,0.181158298540256,0.370324115314339,0.91017685854072
dep_t,1994,0.487371888987863,0.154983193569752,0.317677396822521,0.759825454520274
dep_t,1995,0.410551508350823,0.191021269772665,0.233273591681371,0.680939500948163
dep_t,1996,0.2062591998422,0.0651547262058666,0.123365207831793,0.332167378261214
dep_t,1997,0.116372555584755,0.0337558308345928,0.0716158834884879,0.174983907682418
dep_t,1998,0.0920919028763191,0.0261968170907926,0.0574452375657091,0.143340853725428
dep_t,1999,0.172333977096327,0.0460225207666461,0.106450173622229,0.247059800813254
dep_t,2000,0.261988276766141,0.0759548465789275,0.170103221750968,0.39327634614725
dep_t,2001,0.369513491707245,0.113754868211158,0.215676633082739,0.551295616726107
dep_t,2002,0.335018087006931,0.0920181849950884,0.211663536291763,0.496066655587447
dep_t,2003,0.502951406270306,0.151167816259572,0.299559754128103,0.769655275279952
dep_t,2004,0.456917361120272,0.135558236896046,0.284062972038958,0.684639733477819
dep_t,2005,0.412333241851036,0.120767154614945,0.260058049718322,0.623996247050301
dep_t,2006,0.452689992835158,0.146441424940357,0.258288422248883,0.690154991346764
dep_t,2007,0.374046358507811,0.124169320654177,0.215631773361963,0.599245452097926
dep_t,2008,0.279531883919375,0.0859816091964135,0.181985697884629,0.427460237765169
dep_t,2009,0.201910539896915,0.0614382332944504,0.127114074579776,0.307981837905408
dep_t,2010,0.131100525562045,0.0391402448151128,0.074664993303028,0.193050769147704
dep_t,2011,0.0929929097857528,0.0289914785107882,0.0561550078446471,0.143423410467645
dep_t,2012,0.129393635444108,0.0357060170588769,0.0848734022803354,0.193563253900685
dep_t,2013,0.194800763916876,0.0599238907374422,0.11768771844446,0.301558447377365
dep_t,2014,0.247729138678929,0.0750423254706321,0.147202481075077,0.380731263144772
dep_t,2015,0.298748064638194,0.102227403243641,0.165250910448997,0.472798517400055
dep_t,2016,0.363672647918802,0.189759443738885,0.138700117538488,0.70285569342854
dep_t,2017,0.426443223685679,0.255393789669753,0.118249696048992,0.898290831937816
dep_t,2018,0.532400190844783,0.352938077997501,0.0904002754721151,1.13154330065618
dep_t,2019,0.564203141601183,0.349100320422365,0.076879851291367,1.165452102181
dep_t,2020,0.655722157985559,0.4206111422662,0.0500333749640217,1.33959964866592
dep_t,2021,0.698641072519162,0.428151380833307,0.0402090868131598,1.30088368765347
growth_t,1961,0.141202068604191,0.0307490406818835,0.0944075837426013,0.194523584326046
growth_t,1962,0.16865102405641,0.0422305893328295,0.117913866562793,0.215229850786821
growth_t,1963,0.125961867877613,0.0954744387791636,-0.0128861473653124,0.202876017186975
growth_t,1964,-0.00354047367671054,0.209041450075606,-0.397673665329959,0.185566472893674
growth_t,1965,-0.0103904347901433,0.186783282914841,-0.346182189248243,0.182504635701335
growth_t,1966,-0.221117209200664,0.260323994626695,-0.721069949500139,0.123787775072418
growth_t,1967,-0.265283798720118,0.272687006091708,-0.726599121634871,0.0973302882692085
growth_t,1968,-0.243101688878205,0.268613152142234,-0.730416890037024,0.0847736014686613
growth_t,1969,-0.337804667389163,0.393449897192117,-1.08514960436277,0.110181879668309
growth_t,1970,0.149059165934899,0.07171358460297,0.0675592665500448,0.216750091725627
growth_t,1971,0.149483098222975,0.0649471308440918,0.0509471334847859,0.21642545479627
growth_t,1972,0.147821968031854,0.0735777807549387,0.03838490225823,0.209327887579375
growth_t,1973,0.118844715606492,0.0819221334765803,-0.00911107026496844,0.204324414607518
growth_t,1974,0.0762449184266609,0.154386308134979,-0.181637207634684,0.197131558525068
growth_t,1975,0.101529845797413,0.172159693498043,-0.154661973526934,0.197511693683581
growth_t,1976,0.160803573478989,0.0491133092841175,0.102338366294368,0.216182506551838
growth_t,1977,0.158479316477002,0.0434627631802205,0.11507718543448,0.213971697331437
growth_t,1978,0.161305996962035,0.0397532849890653,0.112694975588982,0.213473913530715
growth_t,1979,0.156963933384447,0.031757084609981,0.109830818314561,0.209236829443901
growth_t,1980,0.163378125403622,0.0345513402254927,0.110673582936854,0.2126678888434
growth_t,1981,0.158948903440908,0.0368066932347544,0.111138536784296,0.213736679577481
growth_t,1982,0.159945376379266,0.0697220960301781,0.0993053301048694,0.216057172662107
growth_t,1983,0.165263489686678,0.0415170473814192,0.107712520269313,0.214778153163174
growth_t,1984,0.140691292627459,0.0835959330647648,0.0201426286202846,0.211310359750686
growth_t,1985,0.14033962657437,0.0859904585673584,0.00139368674011999,0.211000675323254
growth_t,1986,0.153278578594485,0.0699884056061301,0.0573891187373352,0.216592278837236
growth_t,1987,0.169154247681509,0.0382481687352203,0.118454292202358,0.217075282515191
growth_t,1988,0.163983454287203,0.0452594081361085,0.101039797086671,0.212874918387433
growth_t,1989,0.156566263337056,0.0636463494391367,0.0716419557434328,0.214561236585532
growth_t,1990,0.109447030289281,0.12794900012913,-0.090067797056949,0.201056187876665
growth_t,1991,0.152074146273619,0.0831317590021977,0.0723104091763709,0.216807555156566
growth_t,1992,0.163533891254262,0.0471647039482078,0.103030018718239,0.219571434688073
growth_t,1993,0.154239812173539,0.0721968673232469,0.0565973447485034,0.214687177416417
growth_t,1994,0.16299198226058,0.0538234060250165,0.109461190750159,0.214197111120672
growth_t,1995,0.145286062362445,0.135857443394278,0.110571718664767,0.208160559531763
growth_t,1996,0.114612127429019,0.0287650527573482,0.0719816571924373,0.16479677265078
growth_t,1997,0.073245663906175,0.021216809014039,0.0439609940325917,0.111115783657022
growth_t,1998,0.0598084792511976,0.0180378715553313,0.0340310091571202,0.0930481451530143
growth_t,1999,0.101619847989256,0.0276546717205114,0.0600453784316796,0.141421792898875
growth_t,2000,0.135286494931857,0.031276049384803,0.0888682311813823,0.188131183747459
growth_t,2001,0.159016408082064,0.0356835999166155,0.106111354627769,0.208294242211555
growth_t,2002,0.154622589661516,0.0317716729993322,0.104673643508885,0.204913098202205
growth_t,2003,0.163454091771919,0.0390805023564364,0.110851244240881,0.215452724884817
growth_t,2004,0.16564134743675,0.0353143133811738,0.116673505685917,0.213053537869286
growth_t,2005,0.164259598892714,0.0323618701591553,0.113926230185739,0.211301661771549
growth_t,2006,0.163296824276602,0.0384204860238836,0.110386718970648,0.215387294485733
growth_t,2007,0.157961768384846,0.0389502763431611,0.107688610011354,0.209837017144616
growth_t,2008,0.140073249961112,0.0323760546188081,0.0937874423657916,0.191519243434388
growth_t,2009,0.113308068921483,0.0296571392145352,0.0745170867023292,0.167801882588991
growth_t,2010,0.0810484225709744,0.0238104155511069,0.0455628119630144,0.120805218010669
growth_t,2011,0.0602439495598808,0.0202802284645618,0.0370165916562842,0.0968373719150162
growth_t,2012,0.0805394549281365,0.023666141940887,0.0500745733560662,0.120224180272037
growth_t,2013,0.110663637199142,0.031305145194668,0.0679174018927859,0.16097506484726
growth_t,2014,0.130657205219143,0.0335850840084449,0.0810193746754918,0.187146261303742
growth_t,2015,0.144110203583005,0.0369551720149806,0.0878240303484319,0.204851218394189
growth_t,2016,0.141644334444104,0.0559945905486879,0.0725320716520087,0.210480508309303
growth_t,2017,0.129610632952418,0.0945609444903375,0.0371460717671587,0.208436728552406
growth_t,2018,0.0899236901057962,0.176632470513655,-0.107713558060278,0.204804762672483
growth_t,2019,0.0894713648872045,0.220999078748507,-0.135889885087276,0.207491869676578
growth_t,2020,0.0328796784530611,0.231048288391703,-0.341456930745796,0.199204919786076
growth_t,2021,0.0187263292362919,0.282092767405154,-0.283388501987771,0.19382163779307
index_hat_t,1961,14479.8652408586,17476.3318467622,7005.51166485511,30339.2636572357
index_hat_t,1962,10365.315909929,17971.4474236818,4042.94534319843,23453.6727751832
index_hat_t,1963,14664.4414111744,21939.4245402948,5924.90872716161,30923.1300426134
index_hat_t,1964,19634.3200243802,26669.6530839377,5675.26212766694,46062.6989980112
index_hat_t,1965,19658.1317478633,25710.3106933508,7223.19804778978,45392.5539927715
index_hat_t,1966,24754.3628375081,33244.5711156501,10423.6478012419,54715.2133091156
index_hat_t,1967,26325.4747758101,37073.4327404345,9863.80630241555,57487.2383235146
index_hat_t,1968,26144.8578689946,34528.5392780154,9380.95699378632,60164.9013495682
index_hat_t,1969,27990.887446979,43349.3155790358,8830.38766570102,63533.4133245964
index_hat_t,1970,12715.0484963141,17816.5299318946,4640.35454609461,28828.7265240733
